Name,RA,Dec,dist,B_Mag,J_Mag,K_Mag,Type,Av,Num_HST
NGC1058,40.875237,37.341202,12.02275218,11.93,9.904,9.029,G,0.04,9.00E+00
NGC3489,165.077454,13.901258,12.19913401,11.215,8.324,7.423,G,0.232,1.80E+01
NGC4546,188.87294,-3.793227,12.43576176,11.356,8.366,7.441,G,0.211,1.00E+00
NGC7640,350.527435,40.845428,12.58205105,10.21,10,9.108,G,0.03,7.00E+00
NGC3887,176.769012,-16.854641,12.69822756,11.066,9.107,8.225,G,0.338,6.00E+00
NGC0855,33.515049,27.877171,12.70253048,12.841,11.037,10.161,G,0.051,5.00E+00
NGC3184,154.57077,41.424381,12.73695416,10.37,8.5,7.622,G,0.029,4.00E+00
NGC4636,190.707779,2.68778,12.75846918,10.249,7.523,6.628,G,0.22,1.40E+01
NGC1507,61.111477,-2.196225,12.90047258,11.8,10.864,10.011,G,0.064,1.00E+00
NGC0959,38.09977,35.494667,12.94350538,12.389,10.949,10.048,G,0.023,3.00E+00
NGC4278,185.02832,29.280619,12.96071869,11.131,8.166,7.27,G,0.125,2.80E+01
NGC4984,197.238388,-15.516297,13.05539384,11.438,8.802,7.822,G,0.22,3.00E+00
NGC6689,278.709351,70.523888,13.06830435,11.7,11.209,10.355,G,0.06,1.30E+01
NGC0949,37.702709,37.136795,13.14146503,12.21,10.169,9.27,G,0.022,3.00E+00
NGC0628,24.174049,15.78346,13.22753893,9.856,8.031,7.187,G,0.162,2.50E+01
NGC4651,190.927612,16.393396,13.33943908,11.39,9.007,8.104,G,0.2,1.10E+01
NGC1023,40.100052,39.063251,13.44273561,9.95,7.261,6.332,G,0.024,2.10E+01
NGC3351,160.990555,11.70361,13.45134383,10.112,7.76,6.83,G,0.142,3.50E+01
NGC4592,189.828247,-0.531844,14.00663165,11.4,11.004,10.218,G,0.328,1.60E+01
NGC3198,154.979126,45.54969,14.06690226,10.826,8.976,8.041,G,0.026,1.00E+00
NGC4772,193.371552,2.168344,14.17453167,12.321,9.36,8.465,G,0.074,7.00E+00
NGC2681,133.386414,51.313709,14.2261953,11.349,8.506,7.561,G,0.032,1.20E+01
NGC4586,189.618484,4.319099,14.25586642,12.05,9.597,8.634,G,0.157,1.00E+00
NGC4733,192.778259,10.912103,14.26494366,12.368,10.101,9.207,G,0.188,2.00E+00
NGC1036,40.120758,19.297077,14.36396977,13.356,11.925,11.068,G,0.104,1.00E+00
NGC4414,186.612869,31.223545,14.37688648,10.567,7.995,7.005,G,0.411,6.60E+01
NGC4237,184.297562,15.323948,14.41133135,11.957,9.676,8.722,G,0.118,7.00E+00
NGC5866,226.623169,55.763309,14.44577666,10.84,7.94,6.954,G,0.015,1.50E+01
NGC0278,13.017918,47.550537,14.4802224,10.704,8.814,7.874,G,0.03,3.00E+00
NGC4781,193.598953,-10.537218,14.48452815,11.2,9.644,8.78,G,0.081,1.00E+00
NGC5907,228.973694,56.32885,14.51036278,10.31,8.022,6.819,G,0.043,5.00E+00
NGC4343,185.911209,6.953936,14.53189183,13.184,10.1,9.055,G,0.47,2.00E+00
NGC3628,170.070908,13.58949,14.62231569,9.48,7.375,6.221,G,0.228,3.00E+00
NGC3510,165.930649,28.887106,14.64815163,12.66,12.182,11.496,G,0.223,1.00E+00
NGC4371,186.230957,11.704288,14.67829387,11.405,8.712,7.812,G,0.42,1.10E+01
IC0750,179.717606,42.722404,14.68259993,12.607,9.295,8.16,G,0.06,2.00E+00
NGC3600,168.966583,41.591377,14.73857935,11.7,11.363,10.469,G,0.142,3.00E+00
2MASXJ04064970-2110214,61.707115,-21.172617,14.81609121,17.393,12.056,11.156,G,0.243,3.00E+00
NGC4698,192.095566,8.487244,14.85054164,11.246,8.55,7.675,G,0.214,4.00E+00
NGC4762,193.233536,11.2308,15.06586667,11.191,8.357,7.445,G,0.162,7.00E+00
NGC4771,193.338638,1.269171,15.06586667,12.22,9.96,9.007,G,0.076,1.00E+00
NGC4085,181.344604,50.352749,15.07878671,12.31,10.225,9.197,G,0.025,1.00E+00
NGC4239,184.312225,16.53145,15.10462698,13.437,11.234,10.378,G,0.132,6.00E+00
NGC3870,176.485977,50.199905,15.13477427,13.914,11.76,10.974,G,0.116,5.00E+00
NGC4309,185.551453,7.14439,15.15630826,13.69,11.017,10.102,G,0.351,6.00E+00
NGC3782,174.836166,46.51339,15.22521815,12.625,11.791,10.998,G,0.28,4.00E+00
NGC4062,181.015976,31.895815,15.28551573,11.66,9.134,8.213,G,0.033,1.00E+00
NGC4515,188.270599,16.26549,15.4018077,13.522,10.834,10.005,G,0.493,7.00E+00
NGC3599,168.862305,18.110369,15.41472934,12.964,10.39,9.491,G,0.219,2.00E+00
NGC4790,193.716385,-10.247821,15.47933844,12.296,10.825,9.952,G,0.07,7.00E+00
IC3653,190.315506,11.38718,15.4875732,14.26,11.583,10.683,G,0.18,7.00E+00
NGC4340,185.897141,16.722195,15.50087514,12.034,9.341,8.433,G,0.24,1.00E+01
NGC4904,195.244446,-0.027452,15.6171763,12.484,10.612,9.737,G,0.227,1.00E+00
NGC4639,190.71814,13.257536,15.63009896,12.03,9.774,8.918,G,0.107,3.20E+01
NGC5879,227.444794,57.00021,15.66025206,11.64,9.815,8.876,G,0.038,8.00E+00
IC3065,183.802261,14.43285,15.69902083,13.98,11.975,11.2,G,0.097,7.00E+00
UGC06930,179.322479,49.283253,15.75502113,12.953,12.448,11.761,G,0.037,2.00E+00
NGC3368,161.690598,11.81994,15.85840933,10.251,7.346,6.403,G,0.349,4.70E+01
NGC4941,196.054764,-5.55162,15.86702519,12.143,9.269,8.365,G,0.237,1.00E+01
NGC4635,190.663559,19.94523,15.92302895,13.2,12.076,11.248,G,0.1,3.00E+00
NGC3810,175.244736,11.471132,16.01349898,11.03,8.972,8.05,G,0.21,1.70E+01
