,PGC,GWGC_name,HyperLEDA_name,2MASS_name,SDSS-DR12_name,Type,RA,Dec,dist,dist_err,z,B_mag,B_err,B_Abs,J_mag,J_err,H_mag,H_err,K_mag,K_err,flag2,flag3,Av,SkyCoord,HST,used
766,38553.0,NGC4120,NGC4120,12083100+6932414,,G,182.12918100000002,69.544853,38.0214128603,,0.0077555138777600004,13.06,0.3,-19.8401,12.499,0.046,11.94,0.069,11.478,0.08199999999999999,3,1,0.053,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (182.129181, 69.544853)>",0.0,False
767,33118.0,UGC06070,UGC06070,10594625+3323305,,G,164.942734,33.391808000000005,29.1417496754,,0.00589176294588,13.68,0.3,-18.6426,12.288,0.022000000000000002,11.737,0.031,11.482999999999999,0.051,3,1,0.05,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (164.942734, 33.391808)>",0.0,False
768,4612.0,PGC004612,PGC004612,01164376+1623599,,G,19.182346,16.399979000000002,28.4362407685,,0.011035,13.526,,-18.7434,12.387,0.038,11.719000000000001,0.054000000000000006,11.525,0.08800000000000001,3,1,0.347,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (19.182346, 16.399979)>",0.0,False
769,37196.0,IC2969,IC2969,11523127-0352199,,G,178.130295,-3.872218,22.3149933891,,0.006123,13.354000000000001,,-18.389,12.247,0.044000000000000004,11.694,0.069,11.49,0.099,3,1,0.074,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (178.130295, -3.872218)>",0.0,False
770,44876.0,PGC044876,PGC044876,13011091-0533238,,G,195.295471,-5.556619,14.7902536808,,0.008592,14.237,,-16.6129,12.407,0.04,11.735999999999999,0.047,11.495999999999999,0.081,3,1,0.09,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (195.295471, -5.556619)>",0.0,False
771,35569.0,UGC06517,UGC06517,11320240+3641532,,G,173.01004,36.698124,37.2137854255,,0.009497,14.059000000000001,,-18.7945,12.329,0.033,11.665999999999999,0.047,11.5,0.069,3,1,0.076,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (173.01004, 36.698124)>",0.0,False
772,34015.0,UGC06233,UGC06233,11112824+0654265,,G,167.867676,6.9073850000000006,24.6391173514,,0.017249,14.686,,-17.2721,12.405,0.03,11.757,0.04,11.51,0.067,3,1,0.133,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (167.867676, 6.907385)>",0.0,False
773,24699.0,UGC04599,UGC04599,08474167+1325089,,G,131.92363,13.41915,30.7005676648,,0.002621,14.249,,-18.1867,12.282,0.031,11.674000000000001,0.046,11.505,0.065,3,1,0.084,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (131.92363, 13.41915)>",0.0,False
774,49002.0,PGC049002,PGC049002,13484513+4142346,,G,207.18808,41.709625,39.5287419318,,0.038924,15.050999999999998,,-17.9336,12.645,0.026000000000000002,11.950999999999999,0.037000000000000005,11.498,0.046,3,1,0.027,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (207.18808, 41.709625)>",0.0,False
775,28928.0,UGC05369,UGC05369,10001883+5432191,,G,150.078461,54.538639,26.3424182395,,0.00569478284739,14.01,0.26,-18.0933,12.463,0.033,11.773,0.049,11.504000000000001,0.068,3,1,0.017,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (150.078461, 54.538639)>",0.0,False
776,144017.0,PGC144017,PGC144017,01125989-0608349,,G,18.249565,-6.143032,32.7196765023,,0.009548000000000001,14.577,,-17.997,12.440999999999999,0.039,11.763,0.052000000000000005,11.559000000000001,0.08,3,1,0.388,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (18.249565, -6.143032)>",0.0,False
